Ticker,Name,Date bought,Price bought,Amount Bought,Date sold,Price Sold,Spin-Off,VIC,MF,Valuation,Rev growth,Debt level,Understandable,Researchable,Industry,Market Cap,ROE,Holding duration (months),P&L
LCI,Lannett Co Inc,12/26/2014,42.199,10000,7/20/2015,60.17,0,0,1,7,8,1.70,4,7,Drug Manufacturers - Specialty & Generic,806.00,-0.01,7,0.43
LEE,Lee Enterprise,4/25/2016,2.1140381,30000,7/20/2017,1.9,0,1,0,9,0,4.80,7,7,Newspapers,100.00,0.00,15,-0.10
NHTC,Natural Health Trends,7/3/2014,6.9479332,20000,4/10/2105,15,0,0,1,8,8,0.00,6,4,Household & Personal Products,50.00,0.78,9,1.16
NZM,NZME,1/24/2017,0.66,3000,7/20/2017,0.98,0,1,0,7,0,0.40,6,5,Newspapers,150.00,0.21,6,0.48
ONE,One Holdings,1/20/2015,2.3641659,5000,7/21/2015,2.5524505,0,0,1,8,0,0.35,6,5,Education,260.00,0.11,6,0.08
PCP,Precision Castparts Corp,1/20/2015,205.89,10000,7/13/2015,192.6,0,0,0,4,0,0.42,4,5,Industrial,37000.00,0.14,6,-0.06
PIH,Pacific Insight Electronics Corp,1/4/2017,11.2,30000,7/20/2017,10.5,0,1,0,6,8,0.00,6,7,Auto Supplier,70.00,0.37,7,-0.06
PII,Polaris,8/27/2014,148.51,10000,7/20/2017,92.45,0,0,0,2,6,1.40,7,7,Recreational Vehicles,9000.00,0.18,35,-0.38
PTA,Petroamerica,11/6/2014,30,30000,11/16/2015,9,0,0,1,7,0,1.00,3,5,Commodity,100.00,0.00,12,-0.70
RMR,RMR Group,2/21/2016,25,30000,1/23/2017,42.9624378,1,1,1,6,0,0.00,6,7,Real Estate Services,700.00,0.35,11,0.72
RWWI,Rand Worldwide,2/3/2015,2.14,10000,10/5/2015,2.154788,0,1,0,7,0,0.50,4,6,Software - Application,60.00,0.35,8,0.01
SAVE,Spirit Airline,1/29/2016,41,10000,2/14/2017,53,0,1,0,6,0,0.80,6,7,Airlines,3000.00,0.17,13,0.29
SBSA,Spanish Broadcasting System Inc,11/20/2016,4.15,15000,7/20/2017,1.3,0,1,0,2,0,10.00,6,6,Radio,50.00,0.00,8,-0.69
SRG,Seritage,3/29/2016,50.8903046,20000,10/10/2016,48.845,0,1,0,3,0,1.45,6,7,REIT,1700.00,-0.06,6,-0.04
TIBN,Bergbahnen Engelberg-Truebsee-Titlis AG,7/20/2015,317.4023438,20000,6/8/2016,388.7734375,0,1,0,7,7,0.00,7,2,Ski,200.00,0.09,11,0.22
TPUB,Tribune Pushling,10/29/2014,19.68,10000,2/1/2016,9.0292549,0,0,1,7,0,1.00,7,7,Newspapers,400.00,0.00,15,-0.54
VLS,Valsoia,5/12/2014,14.6222525,18000,11/6/2014,12.8192206,0,0,0,6,7,0.00,7,6,Food,200.00,0.15,6,-0.12
WIN,Windstream,6/21/2015,6.4443778,10000,9/18/2015,6.961,1,0,0,6,0,33.00,4,3,REIT,2000.00,0.09,3,0.08
ZINC,Horsehead Holdings,10/9/2015,3.4335329,25000,12/1/2015,2.45,0,1,0,8,0,2.00,4,7,Commodity,200.00,0.00,2,-0.29
ZMTP,Zoom Telephonics,6/30/2016,2.9,30000,7/20/2017,2,0,1,0,2,0,0.00,8,9,Electronics,30.00,0.00,13,-0.31
